Mint,Frequency
selinus_sicily,18
zancle,9
naxus,12
himera,18
rhegium,32
messana,35
acanthus,3
athens,23
agrigentum,37
gela,35
syracuse,117
camarina,15
leontini,27
eryx,3
hipana,1
segesta,9
catana,21
motya,4
corinth,24
ambracia,15
leucas,21
thyrrheium,12
metapontum,1
thurium,1
panormus,3
carthage,23
siculo_punic,28
amphipolis,2
abydus,1
lampsacus,1
persia,1
thermae_himerenses,1
corcyra,3
dyrrhachii,10
anactorium,18
apollonia_illyria,1
argos_amphilochicum,15
locri_epizephyrii,7
alyzia,5
rome,19
thasos,1
terina,1
corona,1
mesma,2
metropolis_acarnania,3
myriandrus,1
carthago_nova,2
coronta,2
hipponium,1
taras,1
heraclea_lucaniae,1
cappadocia,1
the_thracian_chersonese,1
bruttii,1
libya,1
cales,1
neaplois_campania,1
arpi,1
paestum,1
mamertini,11
mytistratus,1
tauromenium,3
punic,2
siceliotae,1
cyzicus,1
aetolian_league,1
menaenum,1
hispanorum,1
aluntium,1
centuripae,2
enna,1
