Hoard,Mintlist
igch2059,selinus_sicily
igch2060,zancle
igch2061,zancle#naxus
igch2062,zancle#naxus
igch2063,himera
igch2064,rhegium#zancle#naxus
igch2065,rhegium#zancle#messana#acanthus#athens
igch2066,rhegium#agrigentum#gela#zancle#syracuse#acanthus#athens
igch2067,selinus_sicily
igch2068,agrigentum#gela#messana#syracuse
igch2069,syracuse
igch2070,syracuse
igch2071,rhegium#agrigentum#camarina#gela#himera#leontini#zancle#messana#selinus_sicily#syracuse#acanthus#athens
igch2072,himera#selinus_sicily
igch2074,himera
igch2075,agrigentum#himera#leontini#messana#syracuse
igch2077,agrigentum#gela#leontini#messana#syracuse
igch2078,rhegium#agrigentum#himera#leontini#syracuse
igch2079,rhegium#agrigentum#eryx#himera#hipana#zancle#zancle#messana#segesta
igch2080,agrigentum#gela#messana#syracuse
igch2081,agrigentum#gela#syracuse
igch2083,syracuse
igch2084,agrigentum#catana#gela#himera#leontini#messana#selinus_sicily#syracuse
igch2085,agrigentum#gela#leontini#syracuse
igch2086,rhegium#agrigentum#catana#eryx#gela#himera#leontini#segesta#syracuse
igch2088,agrigentum
igch2089,rhegium#agrigentum#catana#gela#himera#leontini#messana#naxus#segesta#selinus_sicily#syracuse#athens
igch2090,agrigentum#catana#gela#leontini#messana#syracuse
igch2091,syracuse
igch2092,rhegium#catana#gela#himera#leontini#messana#segesta#selinus_sicily#syracuse#athens
igch2093,agrigentum#camarina#catana#gela#syracuse
igch2095,rhegium#agrigentum#camarina#catana#gela#messana#naxus#selinus_sicily#syracuse#athens
igch2096,rhegium#agrigentum#camarina#catana#gela#himera#leontini#messana#motya#naxus#segesta#selinus_sicily#syracuse#athens
igch2097,catana#gela#leontini#messana#naxus#syracuse
igch2098,rhegium#agrigentum#catana#gela#messana#naxus#syracuse#corinth#ambracia#leucas#thyrrheium#camarina
igch2099,agrigentum#camarina#catana#gela
igch2100,rhegium#catana#gela#leontini#syracuse
igch2101,rhegium#agrigentum#gela#leontini#messana#selinus_sicily#syracuse
igch2102,agrigentum#gela#himera#leontini#messana#segesta#selinus_sicily#syracuse
igch2103,catana#syracuse#athens
igch2104,selinus_sicily#syracuse
igch2106,agrigentum#camarina
igch2108,agrigentum#himera
igch2109,metapontum#thurium#messana#naxus#syracuse
igch2110,syracuse
igch2112,catana#gela#leontini#syracuse
igch2113,agrigentum#leontini
igch2114,panormus#syracuse#carthage#athens
igch2115,naxus#siculo_punic
igch2116,rhegium#agrigentum#catana#gela#leontini#messana#segesta#syracuse#ambracia
igch2117,camarina#gela#syracuse#athens
igch2118,agrigentum#syracuse
igch2119,rhegium#agrigentum#camarina#catana#eryx#gela#himera#leontini#messana#motya#segesta#selinus_sicily#syracuse#siculo_punic#leucas#athens
igch2120,rhegium#agrigentum#camarina#catana#gela#himera#leontini#messana#motya#naxus#segesta#selinus_sicily#syracuse#athens#ambracia
igch2121,rhegium#gela#leontini#messana#syracuse#athens
igch2122,syracuse
igch2123,messana#motya#selinus_sicily#syracuse#athens
igch2124,syracuse#amphipolis#abydus#lampsacus#persia
igch2125,syracuse#siculo_punic
igch2126,syracuse
igch2129,messana#syracuse#siculo_punic#thermae_himerenses#siculo_punic
igch2130,rhegium#gela#leontini#messana#selinus_sicily#syracuse#athens#corinth#ambracia#corcyra#dyrrhachii#leucas
igch2131,rhegium#agrigentum#camarina#leontini#messana#syracuse#athens#corinth#ambracia#anactorium#leucas#syracuse
igch2132,catana#leontini#messana#syracuse#siculo_punic#corinth#ambracia#anactorium#leucas
igch2133,agrigentum#gela#messana#syracuse#siculo_punic#athens#corinth#ambracia#anactorium#apollonia_illyria#argos_amphilochicum#dyrrhachii#leucas#syracuse
igch2134,syracuse
igch2135,camarina#syracuse#siculo_punic#siculo_punic#corinth#ambracia#anactorium#dyrrhachii#leucas#locri_epizephyrii#syracuse
igch2136,rhegium#camarina#messana#selinus_sicily#syracuse#athens
igch2137,siculo_punic
igch2140,syracuse
igch2141,syracuse
igch2142,carthage
igch2143,carthage
igch2145,syracuse#corinth#alyzia#ambracia#anactorium#dyrrhachii#leucas#syracuse#argos_amphilochicum#thyrrheium
igch2150,syracuse#corinth#leucas
igch2151,camarina#messana#syracuse#siculo_punic#athens#corinth#alyzia#ambracia#anactorium#argos_amphilochicum#corcyra#dyrrhachii#leontini#leucas#locri_epizephyrii#syracuse#thyrrheium
igch2152,corinth#ambracia#anactorium#leucas#thyrrheium#rome
igch2153,siculo_punic#carthage#corinth#ambracia#anactorium#argos_amphilochicum#dyrrhachii#leucas#locri_epizephyrii
igch2154,syracuse#siculo_punic#amphipolis
igch2155,syracuse
igch2156,syracuse#siculo_punic
igch2157,carthage
igch2159,thasos
igch2161,catana
igch2162,agrigentum#himera#syracuse
igch2164,gela#syracuse
igch2167,syracuse#corinth
igch2168,corinth
igch2169,corinth#anactorium#argos_amphilochicum#leucas#syracuse#terina
igch2170,syracuse
igch2172,carthage
igch2173,siculo_punic
igch2174,siculo_punic
igch2176,syracuse#carthage
igch2177,syracuse
igch2178,syracuse#siculo_punic
igch2179,syracuse#siculo_punic#corinth#anactorium#argos_amphilochicum#leucas#syracuse#thyrrheium
igch2180,syracuse#siculo_punic#athens#corinth#alyzia#ambracia#anactorium#argos_amphilochicum#corona#dyrrhachii#leontini#leucas#locri_epizephyrii#mesma#metropolis_acarnania#syracuse#thyrrheium
igch2181,syracuse#siculo_punic#corinth#alyzia#ambracia#anactorium#argos_amphilochicum#dyrrhachii#leucas#locri_epizephyrii#syracuse#thyrrheium
igch2182,selinus_sicily#syracuse#siculo_punic#anactorium#argos_amphilochicum
igch2183,messana#syracuse#siculo_punic#myriandrus#corinth#anactorium#argos_amphilochicum#leucas#metropolis_acarnania#syracuse#thyrrheium
igch2184,gela#syracuse#siculo_punic#athens#corinth
