hoard,label,date1,date2,mintlist,lon,lat
igch2059,IGCH 2059,-500,,selinus_sicily,12.82611111,37.58833333
igch2060,IGCH 2060,-500,,zancle,15.00111111,37.29138889
igch2061,IGCH 2061,-500,,zancle#naxus,15.23166667,37.82166667
igch2062,IGCH 2062,-493,,zancle#naxus,15.555153,38.191946
igch2063,IGCH 2063,-490,,himera,13.456478,37.967018
igch2064,IGCH 2064,-490,-480,rhegium#zancle#naxus,15.259824,37.831704
igch2065,IGCH 2065,-489,-479,rhegium#zancle#messana#acanthus#athens,15.555153,38.191946
igch2066,IGCH 2066,-485,,rhegium#agrigentum#gela#zancle#syracuse#acanthus#athens,14.23777778,37.07444444
igch2067,IGCH 2067,-480,,selinus_sicily,12.82611111,37.58833333
igch2068,IGCH 2068,-480,-478,agrigentum#gela#messana#syracuse,12.82611111,37.58833333
igch2069,IGCH 2069,-490,-470,syracuse,14.47916667,37.43
igch2070,IGCH 2070,-480,-470,syracuse,14.89444444,37.0575
igch2071,IGCH 2071,-475,-470,rhegium#agrigentum#camarina#gela#himera#leontini#zancle#messana#selinus_sicily#syracuse#acanthus#athens,14.21111111,37.3025
igch2072,IGCH 2072,-470,,himera#selinus_sicily,13.8225,37.96888889
igch2074,IGCH 2074,-465,,himera,13.34,38.14777778
igch2075,IGCH 2075,-470,-465,agrigentum#himera#leontini#messana#syracuse,14.711351,37.196466
igch2077,IGCH 2077,-460,-450,agrigentum#gela#leontini#messana#syracuse,15.00111111,37.29138889
igch2078,IGCH 2078,-450,,rhegium#agrigentum#himera#leontini#syracuse,13.58194444,37.30888889
igch2079,IGCH 2079,-450,,rhegium#agrigentum#eryx#himera#hipana#zancle#zancle#messana#segesta,15.555153,38.195183
igch2080,IGCH 2080,-500,-450,agrigentum#gela#messana#syracuse,14.90078,37.56978
igch2081,IGCH 2081,-500,-450,agrigentum#gela#syracuse,15.205364,37.092787
igch2083,IGCH 2083,-450,-445,syracuse,15.288105,37.853793
igch2084,IGCH 2084,-455,-435,agrigentum#catana#gela#himera#leontini#messana#selinus_sicily#syracuse,12.82472222,37.58361111
igch2085,IGCH 2085,-450,-435,agrigentum#gela#leontini#syracuse,15.13666667,36.90805556
igch2086,IGCH 2086,-435,,rhegium#agrigentum#catana#eryx#gela#himera#leontini#segesta#syracuse,13.58194444,37.30888889
igch2088,IGCH 2088,-470,-428,agrigentum,15.17944444,37.20111111
